E  M  T 
-2068 1 0.1
-1944 0.0625 0.2
-2068 1 0.3
-2072 1 0.4
-2072 1 0.5
-2068 1 0.6
-2068 1 0.7
-2068 1 0.8
-1920 0.9968359 0.9
-2068 1 1
-2056 0.998047 1.1
-2052 0.996094 1.2
-2032 0.990234 1.3
-2028 0.992188 1.4
-2044 0.992188 1.5
-1936 0.955078 1.6
-1988 0.976562 1.7
-1932 0.939453 1.8
-1916 0.947266 1.9
-1764 0.857422 2
-1812 0.871094 2.1
-1744 0.808594 2.2
-1504 0.738281 2.3
-1520 0.544922 2.4
-1564 0.316406 2.5
-1272 0.126953 2.6
