E  M  T 
-1936 1 0.1
-1904 1 0.2
-2124 1 0.3
-2004 0.777344 0.4
-1928 0.93125 0.5
-1924 0.8152344 0.6
-1976 0.998047 0.7
-2044 0.875 0.8
-2124 1 0.9
-1984 0.998047 1
-2024 0.875 1.1
-1900 0.046875 1.2
-2004 0.904297 1.3
-2116 0.998047 1.4
-2068 0.984375 1.5
-2076 0.986328 1.6
-1840 0.578125 1.7
-1924 0.923828 1.8
-1776 0.490234 1.9
-1464 0.0664062 2
-1508 0.394531 2.1
-1420 0.15625 2.2
-1344 0.365234 2.3
-1188 0.253906 2.4
-1264 0.251953 2.5
-988 0.183594 2.6
